Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
189	-15	15	3454	189	-15	15	3454	189	-15	15	3454	189	-15	15	3454	189	-15	15	3454	189	-15	15	3454
190	-17	17	3471	190	-17	17	3471	190	-17	17	3471	190	-17	17	3471	190	-17	17	3471	190	-17	17	3471
191	-21	21	3492	191	-21	21	3492	191	-21	21	3492	191	-21	21	3492	191	-21	21	3492	191	-21	21	3492
192	-17	17	3509	192	-17	17	3509	192	-17	17	3509	192	-17	17	3509	192	-17	17	3509	192	-17	17	3509
193	-15	15	3524	193	-15	15	3524	193	-15	15	3524	193	-15	15	3524	193	-15	15	3524	193	-15	15	3524
194	-21	21	3545	194	-21	21	3545	194	-21	21	3545	194	-21	21	3545	194	-21	21	3545	194	-21	21	3545
195	-17	17	3562	195	-17	17	3562	195	-17	17	3562	195	-17	17	3562	195	-17	17	3562	195	-17	17	3562
196	-17	17	3579	196	-17	17	3579	196	-17	17	3579	196	-17	17	3579	196	-17	17	3579	196	-17	17	3579
197	-21	21	3600	197	-21	21	3600	197	-21	21	3600	197	-21	21	3600	197	-21	21	3600	197	-21	21	3600
198	-129	30	3630	198	-129	30	3630	198	-129	30	3630	198	-129	30	3630	198	-129	30	3630	198	-129	30	3630
199	-15	15	3645	199	-15	15	3645	199	-15	15	3645	199	-15	15	3645	199	-15	15	3645	199	-15	15	3645
