Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
225	-106.0	106	34001	225	-106.0	106	34001	225	-106.0	106	34001	225	-106.0	106	34001
226	-105.0	105	34106	226	-105.0	105	34106	226	-105.0	105	34106	226	-105.0	105	34106
227	-150.0	150	34256	227	-150.0	150	34256	227	-150.0	150	34256	227	-150.0	150	34256
228	-106.0	106	34362	228	-106.0	106	34362	228	-106.0	106	34362	228	-106.0	106	34362
229	-111.0	111	34473	229	-111.0	111	34473	229	-111.0	111	34473	229	-111.0	111	34473
230	-109.0	109	34582	230	-109.0	109	34582	230	-109.0	109	34582	230	-109.0	109	34582
231	-179.0	179	34761	231	-179.0	179	34761	231	-179.0	179	34761	231	-179.0	179	34761
232	-116.0	116	34877	232	-116.0	116	34877	232	-116.0	116	34877	232	-116.0	116	34877
233	-110.0	110	34987	233	-110.0	110	34987	233	-110.0	110	34987	233	-110.0	110	34987
234	-109.0	109	35096	234	-109.0	109	35096	234	-109.0	109	35096	234	-109.0	109	35096
235	-106.0	106	35202	235	-106.0	106	35202	235	-106.0	106	35202	235	-106.0	106	35202
236	-155.0	155	35357	236	-155.0	155	35357	236	-155.0	155	35357	236	-155.0	155	35357
237	-146.0	146	35503	237	-146.0	146	35503	237	-146.0	146	35503	237	-146.0	146	35503
238	-105.0	105	35608	238	-105.0	105	35608	238	-105.0	105	35608	238	-105.0	105	35608
239	-105.0	105	35713	239	-105.0	105	35713	239	-105.0	105	35713	239	-105.0	105	35713
240	-148.0	148	35861	240	-148.0	148	35861	240	-148.0	148	35861	240	-148.0	148	35861
241	-138.0	138	35999	241	-138.0	138	35999	241	-138.0	138	35999	241	-138.0	138	35999
242	-106.0	106	36105	242	-106.0	106	36105	242	-106.0	106	36105	242	-106.0	106	36105
243	-169.0	169	36274	243	-169.0	169	36274	243	-169.0	169	36274	243	-169.0	169	36274
244	-106.0	106	36380	244	-106.0	106	36380	244	-106.0	106	36380	244	-106.0	106	36380
245	-106.0	106	36486	245	-106.0	106	36486	245	-106.0	106	36486	245	-106.0	106	36486
246	-138.0	138	36624	246	-138.0	138	36624	246	-138.0	138	36624	246	-138.0	138	36624
247	-116.0	116	36740	247	-116.0	116	36740	247	-116.0	116	36740	247	-116.0	116	36740
248	-106.0	106	36846	248	-106.0	106	36846	248	-106.0	106	36846	248	-106.0	106	36846
249	-106.0	106	36952	249	-106.0	106	36952	249	-106.0	106	36952	249	-106.0	106	36952
250	-142.0	142	37094	250	-142.0	142	37094	250	-142.0	142	37094	250	-142.0	142	37094
251	-152.0	152	37246	251	-152.0	152	37246	251	-152.0	152	37246	251	-152.0	152	37246
252	-111.0	111	37357	252	-111.0	111	37357	252	-111.0	111	37357	252	-111.0	111	37357
253	-144.0	144	37501	253	-144.0	144	37501	253	-144.0	144	37501	253	-144.0	144	37501
254	-110.0	110	37611	254	-110.0	110	37611	254	-110.0	110	37611	254	-110.0	110	37611
255	-139.0	139	37750	255	-139.0	139	37750	255	-139.0	139	37750	255	-139.0	139	37750
256	-90.0	90	37840	256	-90.0	90	37840	256	-90.0	90	37840	256	-90.0	90	37840
257	-137.0	137	37977	257	-137.0	137	37977	257	-137.0	137	37977	257	-137.0	137	37977
258	-168.0	168	38145	258	-168.0	168	38145	258	-168.0	168	38145	258	-168.0	168	38145
259	-152.0	152	38297	259	-152.0	152	38297	259	-152.0	152	38297	259	-152.0	152	38297
260	-158.0	158	38455	260	-158.0	158	38455	260	-158.0	158	38455	260	-158.0	158	38455
261	-143.0	143	38598	261	-143.0	143	38598	261	-143.0	143	38598	261	-143.0	143	38598
262	-104.0	104	38702	262	-104.0	104	38702	262	-104.0	104	38702	262	-104.0	104	38702
263	-138.0	138	38840	263	-138.0	138	38840	263	-138.0	138	38840	263	-138.0	138	38840
264	-89.0	89	38929	264	-89.0	89	38929	264	-89.0	89	38929	264	-89.0	89	38929
265	-95.0	95	39024	265	-95.0	95	39024	265	-95.0	95	39024	265	-95.0	95	39024
266	-140.0	140	39164	266	-140.0	140	39164	266	-140.0	140	39164	266	-140.0	140	39164
267	-105.0	105	39269	267	-105.0	105	39269	267	-105.0	105	39269	267	-105.0	105	39269
268	-137.0	137	39406	268	-137.0	137	39406	268	-137.0	137	39406	268	-137.0	137	39406
269	-135.0	135	39541	269	-135.0	135	39541	269	-135.0	135	39541	269	-135.0	135	39541
270	-146.0	146	39687	270	-146.0	146	39687	270	-146.0	146	39687	270	-146.0	146	39687
271	-105.0	105	39792	271	-105.0	105	39792	271	-105.0	105	39792	271	-105.0	105	39792
272	-151.0	151	39943	272	-151.0	151	39943	272	-151.0	151	39943	272	-151.0	151	39943
273	-106.0	106	40049	273	-106.0	106	40049	273	-106.0	106	40049	273	-106.0	106	40049
274	-141.0	141	40190	274	-141.0	141	40190	274	-141.0	141	40190	274	-141.0	141	40190
275	-105.0	105	40295	275	-105.0	105	40295	275	-105.0	105	40295	275	-105.0	105	40295
276	-88.0	88	40383	276	-88.0	88	40383	276	-88.0	88	40383	276	-88.0	88	40383
277	-100.0	100	40483	277	-100.0	100	40483	277	-100.0	100	40483	277	-100.0	100	40483
278	-172.0	172	40655	278	-172.0	172	40655	278	-172.0	172	40655	278	-172.0	172	40655
279	-160.0	160	40815	279	-160.0	160	40815	279	-160.0	160	40815	279	-160.0	160	40815
280	-104.0	104	40919	280	-104.0	104	40919	280	-104.0	104	40919	280	-104.0	104	40919
281	-148.0	148	41067	281	-148.0	148	41067	281	-148.0	148	41067	281	-148.0	148	41067
282	-158.0	158	41225	282	-158.0	158	41225	282	-158.0	158	41225	282	-158.0	158	41225
