Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
155	-122	23	2500	155	-122	23	2500	155	-122	23	2500	155	-122	23	2500	155	-122	23	2500	155	-122	23	2500	155	-122	23	2500	155	-122	23	2500
156	-15	15	2515	156	-15	15	2515	156	-15	15	2515	156	-15	15	2515	156	-15	15	2515	156	-15	15	2515	156	-15	15	2515	156	-15	15	2515
157	-13	13	2528	157	-13	13	2528	157	-13	13	2528	157	-13	13	2528	157	-13	13	2528	157	-13	13	2528	157	-13	13	2528	157	-13	13	2528
158	-13	13	2541	158	-13	13	2541	158	-13	13	2541	158	-13	13	2541	158	-13	13	2541	158	-13	13	2541	158	-13	13	2541	158	-13	13	2541
159	-17	17	2558	159	-17	17	2558	159	-17	17	2558	159	-17	17	2558	159	-17	17	2558	159	-17	17	2558	159	-17	17	2558	159	-17	17	2558
160	-17	17	2575	160	-17	17	2575	160	-17	17	2575	160	-17	17	2575	160	-17	17	2575	160	-17	17	2575	160	-17	17	2575	160	-17	17	2575
161	-117	18	2593	161	-117	18	2593	161	-117	18	2593	161	-117	18	2593	161	-117	18	2593	161	-117	18	2593	161	-117	18	2593	161	-117	18	2593
162	-120	21	2614	162	-120	21	2614	162	-120	21	2614	162	-120	21	2614	162	-120	21	2614	162	-120	21	2614	162	-120	21	2614	162	-120	21	2614
163	-15	15	2629	163	-15	15	2629	163	-15	15	2629	163	-15	15	2629	163	-15	15	2629	163	-15	15	2629	163	-15	15	2629	163	-15	15	2629
164	-13	13	2642	164	-13	13	2642	164	-13	13	2642	164	-13	13	2642	164	-13	13	2642	164	-13	13	2642	164	-13	13	2642	164	-13	13	2642
165	-15	15	2657	165	-15	15	2657	165	-15	15	2657	165	-15	15	2657	165	-15	15	2657	165	-15	15	2657	165	-15	15	2657	165	-15	15	2657
166	-13	13	2670	166	-13	13	2670	166	-13	13	2670	166	-13	13	2670	166	-13	13	2670	166	-13	13	2670	166	-13	13	2670	166	-13	13	2670
167	-13	13	2683	167	-13	13	2683	167	-13	13	2683	167	-13	13	2683	167	-13	13	2683	167	-13	13	2683	167	-13	13	2683	167	-13	13	2683
168	-13	13	2696	168	-13	13	2696	168	-13	13	2696	168	-13	13	2696	168	-13	13	2696	168	-13	13	2696	168	-13	13	2696	168	-13	13	2696
169	-13	13	2709	169	-13	13	2709	169	-13	13	2709	169	-13	13	2709	169	-13	13	2709	169	-13	13	2709	169	-13	13	2709	169	-13	13	2709
170	-121	22	2731	170	-121	22	2731	170	-121	22	2731	170	-121	22	2731	170	-121	22	2731	170	-121	22	2731	170	-121	22	2731	170	-121	22	2731
