Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
139	-31	31	9687	139	-31	31	9687	139	-31	31	9687	139	-31	31	9687	139	-31	31	9687	139	-31	31	9687	139	-31	31	9687
140	-261	63	9750	140	-261	63	9750	140	-261	63	9750	140	-261	63	9750	140	-261	63	9750	140	-261	63	9750	140	-261	63	9750
141	-22	22	9772	141	-22	22	9772	141	-22	22	9772	141	-22	22	9772	141	-22	22	9772	141	-22	22	9772	141	-22	22	9772
142	-117	18	9790	142	-117	18	9790	142	-117	18	9790	142	-117	18	9790	142	-117	18	9790	142	-117	18	9790	142	-117	18	9790
143	-136	37	9827	143	-136	37	9827	143	-136	37	9827	143	-136	37	9827	143	-136	37	9827	143	-136	37	9827	143	-136	37	9827
144	-24	24	9851	144	-24	24	9851	144	-24	24	9851	144	-24	24	9851	144	-24	24	9851	144	-24	24	9851	144	-24	24	9851
145	-37	37	9888	145	-37	37	9888	145	-37	37	9888	145	-37	37	9888	145	-37	37	9888	145	-37	37	9888	145	-37	37	9888
146	-29	29	9917	146	-29	29	9917	146	-29	29	9917	146	-29	29	9917	146	-29	29	9917	146	-29	29	9917	146	-29	29	9917
147	-272	74	9991	147	-272	74	9991	147	-272	74	9991	147	-272	74	9991	147	-272	74	9991	147	-272	74	9991	147	-272	74	9991
148	-32	32	10023	148	-32	32	10023	148	-32	32	10023	148	-32	32	10023	148	-32	32	10023	148	-32	32	10023	148	-32	32	10023
149	-24	24	10047	149	-24	24	10047	149	-24	24	10047	149	-24	24	10047	149	-24	24	10047	149	-24	24	10047	149	-24	24	10047
150	-143	44	10091	150	-143	44	10091	150	-143	44	10091	150	-143	44	10091	150	-143	44	10091	150	-143	44	10091	150	-143	44	10091
151	-29	29	10120	151	-29	29	10120	151	-29	29	10120	151	-29	29	10120	151	-29	29	10120	151	-29	29	10120	151	-29	29	10120
152	-132	33	10153	152	-132	33	10153	152	-132	33	10153	152	-132	33	10153	152	-132	33	10153	152	-132	33	10153	152	-132	33	10153
153	-24	24	10177	153	-24	24	10177	153	-24	24	10177	153	-24	24	10177	153	-24	24	10177	153	-24	24	10177	153	-24	24	10177
154	-13	13	10190	154	-13	13	10190	154	-13	13	10190	154	-13	13	10190	154	-13	13	10190	154	-13	13	10190	154	-13	13	10190
155	-30	30	10220	155	-30	30	10220	155	-30	30	10220	155	-30	30	10220	155	-30	30	10220	155	-30	30	10220	155	-30	30	10220
156	-16	16	10236	156	-16	16	10236	156	-16	16	10236	156	-16	16	10236	156	-16	16	10236	156	-16	16	10236	156	-16	16	10236
157	-18	18	10254	157	-18	18	10254	157	-18	18	10254	157	-18	18	10254	157	-18	18	10254	157	-18	18	10254	157	-18	18	10254
158	-23	23	10277	158	-23	23	10277	158	-23	23	10277	158	-23	23	10277	158	-23	23	10277	158	-23	23	10277	158	-23	23	10277
